datadate,tic,name,current_assets,accounts_payable,long_term_debt,current_liabilities,preferred_stock,cost_of_goods_sold,nonoperating_income,operating_income,sales,income_taxes,interest_and_expense,depreciation_and_amortization,equity_in_net_loss,inventory_decrease,capital_expenditures,short_term_investments_change
20201231,ATUUF,TENAZ ENERGY CORP,1.307,1.179,0.156,5.608,0.0,5.314,1.224,-5.949,9.67,-1.472,0.295,8.715,0.0,0.0,7.874,0.0
20201231,IEGCF,INDEPENDENCE GOLD CORP,3.04,0.091,0.67,0.398,0.0,0.0,0.19,-1.319,0.0,0.0,0.061,0.175,0.0,0.0,0.0,0.136
20201231,SILO,SILO PHARMA INC,1.427,0.127,0.004,0.142,0.0,0.176,0.003,-2.574,0.041,0.0,0.269,0.0,0.0,-0.015,0.0,0.0
20201231,ATANF,ALTAN RIO MINERALS LTD,1.036,0.559,0.0,0.732,0.0,0.0,0.06,-1.209,0.0,0.0,0.028,0.0,0.0,0.0,0.638,0.0
20201231,RDUS,RADIUS HEALTH INC,180.548,9.925,242.068,73.173,0.0,16.03,1.191,-82.422,238.645,0.0,27.977,19.751,0.0,-3.851,0.0,67.485
20201231,GLOG,GASLOG LTD,437.534,25.046,3714.121,459.349,0.046,170.118,-110.939,284.821,674.089,0.0,154.683,177.213,2.192,0.607,738.188,4.5
20201231,SSNT,SILVERSUN TECHNOLOGIES INC,8.629,1.875,1.892,6.729,0.0,24.64,0.013,0.224,41.22,0.047,0.014,1.122,0.0,0.0,0.125,1.15
20201231,WARM,COOL TECHNOLOGIES INC,0.18,1.474,0.038,7.222,0.003,0.0,-0.342,-0.986,0.0,0.0,1.472,0.019,0.0,-0.03,0.0,0.0
20201231,UNRV,UNRIVALED BRANDS INC,37.606,6.027,14.714,26.422,0.0,10.687,10.134,-21.002,14.287,0.0,2.932,7.171,0.0,2.732,1.473,-0.25
20201231,DOLLF,DOLLY VARDEN SILVER CORP,23.868,0.093,0.0,1.415,0.0,0.0,0.371,-7.377,0.0,0.0,0.0,0.018,0.0,0.0,0.172,0.0
20201231,NAUFF,NEVGOLD CORP,0.105,0.016,0.0,0.016,0.0,0.0,0.001,-0.078,0.0,-0.02,0.003,0.004,0.0,0.0,0.03,0.0
20201231,INLX,INTELLINETICS INC,3.466,0.142,3.999,3.625,0.0,3.263,0.0,0.154,8.253,-0.188,0.638,0.819,0.0,0.001,0.077,0.0
20201231,VIPS,VIPSHOP HOLDINGS LTD,4743.454,2311.595,207.089,4042.878,0.0,12234.717,236.618,783.991,15499.352,171.949,10.249,173.359,4.567,-80.221,340.433,-718.738
20201231,BTHE.1,BOSTON THERAPEUTICS INC-OLD,0.02,0.813,0.0,8.6,0.0,0.031,0.308,-0.786,0.009,0.0,0.43,0.001,0.0,0.002,0.0,0.0
20201231,ENDV,ENDONOVO THERAPEUTICS INC,0.046,0.701,0.0,16.826,0.0,2.428,5.155,-2.913,0.166,0.0,2.083,0.651,0.0,0.0,0.0,0.0
20201231,ATCMF,ATICO MINING CORP,39.154,6.534,7.344,16.631,0.0,26.616,0.598,12.582,59.575,4.344,0.44,11.983,0.0,-1.652,10.86,0.0
20201231,PSHIF,PETROSHALE INC,20.384,19.425,320.108,38.819,7.51,73.3,0.0,-42.826,102.138,-6.151,25.31,66.263,0.0,0.0,35.197,0.0
20201231,PBYI,PUMA BIOTECHNOLOGY INC,146.139,12.076,103.574,114.255,0.0,32.174,0.856,-30.402,225.11,0.207,14.046,10.033,0.0,-0.284,0.046,43.449
20201231,BLONF,CO2 GRO INC,1.213,0.033,0.0,0.309,0.0,0.2,0.011,-1.016,0.091,0.0,0.003,0.003,0.0,0.014,0.0,0.0
20201231,LLL,JX LUXVENTURE LIMITED,31.458,0.277,0.0,7.943,0.0,7.986,-1.961,-5.198,10.876,-1.557,0.065,0.88,0.0,-0.267,0.024,0.0
20201231,BLMN,BLOOMIN' BRANDS INC,323.854,141.457,2215.691,950.104,0.0,2790.901,0.131,-18.061,3170.561,-80.726,64.442,211.33,0.0,19.857,87.842,9.025
20201231,PLLMF,PLATA LATINA MINERALS CORP,0.44,0.003,0.0,0.023,0.0,0.0,0.039,-0.431,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0
20201231,PHOT,GROWLIFE INC,1.933,1.146,0.751,10.425,0.0,4.02,0.199,-1.889,7.001,0.232,1.09,0.709,0.0,0.03,0.0,0.0
20201231,FET,FORUM ENERGY TECH INC,490.191,46.351,337.909,124.934,0.0,472.497,-26.267,-208.698,512.476,-12.881,30.268,51.0,0.0,47.304,2.246,0.0
20201231,SZSMF,SANTACRUZ SILVER MINING LTD,16.421,31.355,0.304,38.935,0.0,31.399,5.196,-6.207,33.097,0.092,0.802,0.761,0.0,-0.279,2.635,0.0
20201231,CLIR,CLEARSIGN TECHNOLOGIES CORP,9.382,0.435,0.5,1.08,0.0,6.722,0.046,-6.932,0.0,0.0,0.0,0.21,0.0,0.0,0.017,0.0
20201231,PHIO,PHIO PHARMACEUTICALS CORP,15.164,0.728,0.526,2.196,0.0,8.721,-0.001,-8.793,0.0,0.0,0.0,0.072,0.0,0.0,0.019,0.0
20201231,MOBIF,MOBI724 GLOBAL SOLUTIONS INC,0.721,0.818,4.257,2.106,0.0,3.955,0.073,-3.105,1.12,-0.063,0.58,0.27,0.0,0.0,0.027,0.0
20201231,PGTI,PGT INNOVATIONS INC,301.672,23.469,447.228,90.476,0.0,518.076,0.153,101.665,882.621,11.884,27.872,44.045,0.0,-14.793,24.8,0.0
20201231,HWCC,HOUSTON WIRE & CABLE CO,118.233,7.471,39.459,26.347,0.0,222.368,0.0,-1.631,286.017,-0.636,1.887,3.377,0.0,36.301,1.092,0.0
20201231,AQARF,AQUILA RESOURCES INC,1.933,1.937,0.323,2.697,0.0,0.0,-3.308,-4.719,0.0,0.0,0.013,0.093,0.0,0.0,0.078,0.0
20201231,LRTNF,PURE GOLD MINING INC,55.191,21.38,91.574,35.886,0.0,0.0,-9.324,-18.422,0.0,-0.849,0.057,0.41,0.0,-3.167,113.927,-0.147
20201231,PTCT,PTC THERAPEUTICS INC,1231.745,18.665,1070.436,277.333,0.0,12.344,85.188,-343.875,380.766,35.228,56.352,44.51,0.0,1.841,17.843,-495.571
20201231,NFYEF,NFI GROUP INC,1175.77,523.461,1256.359,673.149,0.0,2111.693,10.615,-39.009,2419.175,1.644,83.869,110.784,0.0,22.483,25.703,0.0
20201231,AOCIF,AUTOCANADA INC,935.524,65.806,561.016,942.886,0.0,2753.457,9.082,80.91,3329.494,5.418,68.503,43.431,0.0,137.036,20.966,0.0
